,id,company_name,job_title,location,job_link,type
271,272,Paytm,Team Lead in QR Vertical - Walkin Drive,Delhi-NCR,https://jobs.lever.co/paytm/8fa6a9a1-1c35-4e4c-8479-ef3d50c66c3d,Other
272,273,Paytm,Team Lead Sales - Bathinda,"Bathinda, Punjab",https://jobs.lever.co/paytm/370e7b68-c1ff-4005-917c-f186eaa309d0,Marketing
273,274,Paytm,Team Lead Sales - Kathua,"Kathua, Jammu & Kashmir",https://jobs.lever.co/paytm/9a75dcc0-6808-4e57-9e36-117a6587a05f,Marketing
274,275,Paytm,Team Lead Sales - Ramnagar,"Ramnagar, Uttarakhand",https://jobs.lever.co/paytm/3a90c248-0813-4626-b7e5-36b2c8103059,Marketing
275,276,Paytm,Team Lead Sales - Srinagar,"Srinagar, Jammu & Kashmir",https://jobs.lever.co/paytm/3df42512-f834-4e4b-b66c-a71238216c28,Marketing
276,277,Paytm,Team Lead Sales- Jalandhar,"Jalandhar, Punjab",https://jobs.lever.co/paytm/0672944e-5b0a-42d0-b166-665d7dc81b7b,Marketing
277,278,Paytm,Team Lead Sales- Ludhiana,"Ludhiana, Punjab",https://jobs.lever.co/paytm/3e511417-622e-4954-8938-d5a767b85ac6,Marketing
278,279,Paytm,Team Lead Sales- Shimla,"Shimla, Himachal Pradesh",https://jobs.lever.co/paytm/99b91443-6de3-4914-bbf7-c6322e684bec,Marketing
279,280,Paytm,Team Lead- sales- Dehradun,"Dehradun, Uttarakhand",https://jobs.lever.co/paytm/3344e5bd-cf5d-45a9-a030-45a9a9d35aec,Marketing
280,281,Paytm,"Team Lead, Area sales Manager & Key Account Manager- Bengaluru","Bengaluru, Karnataka",https://jobs.lever.co/paytm/f0b0736a-4fa3-4d8c-8dad-17de79a2f4b4,Marketing
281,282,Paytm,Key Account - Senior Associate,"DHARWAD, KARNATAKA",https://jobs.lever.co/paytm/606819cf-0ecd-4166-9e38-b47f4a3d4150,Other
282,283,Paytm,Key Account Manager  -Oil & Gas -  Kolar,"Kolar,Karnataka",https://jobs.lever.co/paytm/18d64c43-926c-4756-abc5-86884dcd6cfe,Other
